"NOM_ENT","NOM_MUN","CVEGEO","POB_TOT_2020","esp"
"Aguascalientes","Aguascalientes",1001,961977,FALSE
"Aguascalientes","Asientos",1002,50864,FALSE
"Aguascalientes","Calvillo",1003,60760,FALSE
"Aguascalientes","Cosío",1004,16918,FALSE
"Aguascalientes","El Llano",1010,21947,FALSE
"Aguascalientes","Jesús María",1005,130184,FALSE
"Aguascalientes","Pabellón de Arteaga",1006,50032,FALSE
"Aguascalientes","Rincón de Romos",1007,57981,FALSE
"Aguascalientes","San Francisco de los Romo",1011,51568,FALSE
"Aguascalientes","San José de Gracia",1008,9661,FALSE
"Aguascalientes","Tepezalá",1009,22743,FALSE
"Baja California","Ensenada",2001,536143,FALSE
"Baja California","Mexicali",2002,1087478,FALSE
"Baja California","Playas de Rosarito",2005,107859,FALSE
"Baja California","Tecate",2003,113857,FALSE
"Baja California","Tijuana",2004,1789531,FALSE
"Baja California Sur","Comondú",3001,83051,FALSE
"Baja California Sur","La Paz",3003,301961,FALSE
"Baja California Sur","Loreto",3009,21657,FALSE
"Baja California Sur","Los Cabos",3008,330312,FALSE
"Baja California Sur","Mulegé",3002,67727,FALSE
"Campeche","Calakmul",4010,31723,FALSE
"Campeche","Calkiní",4001,63298,FALSE
"Campeche","Campeche",4002,317424,FALSE
"Campeche","Candelaria",4011,48722,FALSE
"Campeche","Carmen",4003,275478,FALSE
"Campeche","Champotón",4004,99945,FALSE
"Campeche","Escárcega",4009,63495,FALSE
"Campeche","Hecelchakán",4005,34683,FALSE
"Campeche","Hopelchén",4006,44051,FALSE
"Campeche","Palizada",4007,9868,FALSE
"Campeche","Tenabo",4008,11930,FALSE
"Chiapas","Acacoyagua",7001,19856,FALSE
"Chiapas","Acala",7002,34494,FALSE
"Chiapas","Acapetahua",7003,31069,FALSE
"Chiapas","Aldama",7113,7152,FALSE
"Chiapas","Altamirano",7004,35982,FALSE
"Chiapas","Amatán",7005,21836,FALSE
"Chiapas","Amatenango de la Frontera",7006,33860,FALSE
"Chiapas","Amatenango del Valle",7007,10779,FALSE
"Chiapas","Angel Albino Corzo",7008,30925,FALSE
"Chiapas","Arriaga",7009,44264,FALSE
"Chiapas","Bejucal de Ocampo",7010,8324,FALSE
"Chiapas","Bella Vista",7011,22028,FALSE
"Chiapas","Benemérito de las Américas",7114,21603,FALSE
"Chiapas","Berriozábal",7012,56971,FALSE
"Chiapas","Bochil",7013,38101,FALSE
"Chiapas","Cacahoatán",7015,50439,FALSE
"Chiapas","Catazajá",7016,19006,FALSE
"Chiapas","Chalchihuitán",7022,18016,FALSE
"Chiapas","Chamula",7023,95357,FALSE
"Chiapas","Chanal",7024,13332,FALSE
"Chiapas","Chapultenango",7025,8248,FALSE
"Chiapas","Chenalhó",7026,43453,FALSE
"Chiapas","Chiapa de Corzo",7027,111223,FALSE
"Chiapas","Chiapilla",7028,6406,FALSE
"Chiapas","Chicoasén",7029,5605,FALSE
"Chiapas","Chicomuselo",7030,38122,FALSE
"Chiapas","Chilón",7031,140023,FALSE
"Chiapas","Cintalapa",7017,93518,FALSE
"Chiapas","Coapilla",7018,10035,FALSE
"Chiapas","Comitán de Domínguez",7019,170498,FALSE
"Chiapas","Copainalá",7021,24030,FALSE
"Chiapas","El Bosque",7014,24374,FALSE
"Chiapas","El Porvenir",7070,15501,FALSE
"Chiapas","Escuintla",7032,34628,FALSE
