"entidad","municipio"
"Chiapas","La Grandeza"
"Chiapas","Metapa"
"Chiapas","Montecristo de Guerrero"
"Chiapas","Tapalapa"
"Chihuahua","Dr. Belisario Domínguez"
"Chihuahua","El Tule"
"Chihuahua","Rosario"
"Chihuahua","San Francisco de Borja"
"Chihuahua","Uruachi"
"Guanajuato","Santa Catarina"
"Guerrero","Azoyú"
"Guerrero","Cochoapa el Grande"
"Guerrero","Cuajinicuilapa"
"Guerrero","Igualapa"
"Guerrero","Iliatenco"
"Guerrero","Juchitán"
"Guerrero","Malinaltepec"
"Guerrero","Ometepec"
"Guerrero","Tlacoapa"
"Guerrero","Zapotitlán Tablas"
"Hidalgo","Juárez Hidalgo"
"Jalisco","Amacueca"
"Jalisco","Atoyac"
"Jalisco","Concepción de Buenos Aires"
"Jalisco","Huejuquilla el Alto"
"Jalisco","Mazamitla"
"Jalisco","Tapalpa"
"Jalisco","Techaluta de Montenegro"
"Jalisco","Teocuitatlán de Corona"
"Jalisco","Tonaya"
"Jalisco","Valle de Juárez"
"Jalisco","Villa Guerrero"
"Jalisco","Zacoalco de Torres"
"Nuevo León","Aramberri"
"Nuevo León","Bustamante"
"Nuevo León","General Treviño"
"Nuevo León","Melchor Ocampo"
"Nuevo León","Mier y Noriega"
"Nuevo León","Parás"
"Oaxaca","Asunción Tlacolulita"
"Oaxaca","Ayoquezco de Aldama"
"Oaxaca","Ayotzintepec"
"Oaxaca","Calihualá"
"Oaxaca","Capulálpam de Méndez"
"Oaxaca","Coatecas Altas"
"Oaxaca","Concepción Buenavista"
"Oaxaca","Guadalupe de Ramírez"
"Oaxaca","Guevea de Humboldt"
"Oaxaca","Ixtlán de Juárez"
"Oaxaca","La Compañía"
"Oaxaca","La Trinidad Vista Hermosa"
"Oaxaca","Magdalena Yodocono de Porfirio Díaz"
"Oaxaca","Mártires de Tacubaya"
"Oaxaca","Mixistlán de la Reforma"
"Oaxaca","Nejapa de Madero"
"Oaxaca","San Agustín Tlacotepec"
"Oaxaca","San Andrés Cabecera Nueva"
"Oaxaca","San Andrés Solaga"
"Oaxaca","San Andrés Yaá"
"Oaxaca","San Baltazar Chichicápam"
"Oaxaca","San Baltazar Loxicha"
"Oaxaca","San Baltazar Yatzachi el Bajo"
"Oaxaca","San Bartolo Yautepec"
"Oaxaca","San Bartolomé Loxicha"
"Oaxaca","San Bartolomé Zoogocho"
"Oaxaca","San Carlos Yautepec"
"Oaxaca","San Cristóbal Amatlán"
"Oaxaca","San Cristóbal Lachirioag"
"Oaxaca","San Francisco Cahuacuá"
"Oaxaca","San Francisco Cajonos"
"Oaxaca","San Francisco Chindúa"
"Oaxaca","San Francisco Logueche"
"Oaxaca","San Francisco Ozolotepec"
"Oaxaca","San Francisco Sola"
"Oaxaca","San Francisco Teopan"
"Oaxaca","San Francisco Tlapancingo"
"Oaxaca","San Ildefonso Amatlán"
"Oaxaca","San Ildefonso Sola"
"Oaxaca","San Ildefonso Villa Alta"
"Oaxaca","San Jacinto Tlacotepec"
"Oaxaca","San Jorge Nuchita"
"Oaxaca","San José del Peñasco"
"Oaxaca","San José Lachiguiri"
"Oaxaca","San Juan Achiutla"
"Oaxaca","San Juan Atepec"
"Oaxaca","San Juan Bautista Lo de Soto"
"Oaxaca","San Juan Bautista Tlachichilco"
"Oaxaca","San Juan Bautista Tlacoatzintepec"
"Oaxaca","San Juan Cacahuatepec"
"Oaxaca","San Juan Chicomezúchil"
"Oaxaca","San Juan Comaltepec"
"Oaxaca","San Juan del Río"
"Oaxaca","San Juan Evangelista Analco"
"Oaxaca","San Juan Ihualtepec"
"Oaxaca","San Juan Juquila Vijanos"
"Oaxaca","San Juan Lachigalla"
"Oaxaca","San Juan Lajarcia"
"Oaxaca","San Juan Lalana"
"Oaxaca","San Juan Mixtepec Distrito 26"
"Oaxaca","San Juan Ozolotepec"
"Oaxaca","San Juan Petlapa"
"Oaxaca","San Juan Quiahije"
"Oaxaca","San Juan Tabaá"
"Oaxaca","San Juan Yaeé"
"Oaxaca","San Juan Yatzona"
"Oaxaca","San Lorenzo Cuaunecuiltitla"
"Oaxaca","San Lorenzo Texmelúcan"
"Oaxaca","San Lorenzo Victoria"
"Oaxaca","San Lucas Camotlán"
