"","entidad","municipio"
"1","Chiapas","La Grandeza"
"2","Chiapas","Metapa"
"3","Chiapas","Montecristo de Guerrero"
"4","Chiapas","Tapalapa"
"5","Chihuahua","Dr. Belisario Domínguez"
"6","Chihuahua","El Tule"
"7","Chihuahua","Rosario"
"8","Chihuahua","San Francisco de Borja"
"9","Chihuahua","Uruachi"
"10","Guanajuato","Santa Catarina"
"11","Guerrero","Azoyú"
"12","Guerrero","Cochoapa el Grande"
"13","Guerrero","Cuajinicuilapa"
"14","Guerrero","Igualapa"
"15","Guerrero","Iliatenco"
"16","Guerrero","Juchitán"
"17","Guerrero","Malinaltepec"
"18","Guerrero","Ometepec"
"19","Guerrero","Tlacoapa"
"20","Guerrero","Zapotitlán Tablas"
"21","Hidalgo","Juárez Hidalgo"
"22","Jalisco","Amacueca"
"23","Jalisco","Atoyac"
"24","Jalisco","Concepción de Buenos Aires"
"25","Jalisco","Huejuquilla el Alto"
"26","Jalisco","Mazamitla"
"27","Jalisco","Tapalpa"
"28","Jalisco","Techaluta de Montenegro"
"29","Jalisco","Teocuitatlán de Corona"
"30","Jalisco","Tonaya"
"31","Jalisco","Valle de Juárez"
"32","Jalisco","Villa Guerrero"
"33","Jalisco","Zacoalco de Torres"
"34","Nuevo León","Aramberri"
"35","Nuevo León","Bustamante"
"36","Nuevo León","General Treviño"
"37","Nuevo León","Melchor Ocampo"
"38","Nuevo León","Mier y Noriega"
"39","Nuevo León","Parás"
"40","Oaxaca","Asunción Tlacolulita"
"41","Oaxaca","Ayoquezco de Aldama"
"42","Oaxaca","Ayotzintepec"
"43","Oaxaca","Calihualá"
"44","Oaxaca","Capulálpam de Méndez"
"45","Oaxaca","Coatecas Altas"
"46","Oaxaca","Concepción Buenavista"
"47","Oaxaca","Guadalupe de Ramírez"
"48","Oaxaca","Guevea de Humboldt"
"49","Oaxaca","Ixtlán de Juárez"
"50","Oaxaca","La Compañía"
"51","Oaxaca","La Trinidad Vista Hermosa"
"52","Oaxaca","Magdalena Yodocono de Porfirio Díaz"
"53","Oaxaca","Mártires de Tacubaya"
"54","Oaxaca","Mixistlán de la Reforma"
"55","Oaxaca","Nejapa de Madero"
"56","Oaxaca","San Agustín Tlacotepec"
"57","Oaxaca","San Andrés Cabecera Nueva"
"58","Oaxaca","San Andrés Solaga"
"59","Oaxaca","San Andrés Yaá"
